G	7022	2760	1
A	7023	2526	1
B	7023	2173	1
C	7023	2659	1
D	7023	2934	1
E	7023	2526	1
F	7023	2712	1
G	7023	2712	1
H	7023	2015	1
A	7024	2659	1
B	7024	2980	1
C	7024	2712	1
D	7024	2834	1
E	7024	2934	1
F	7024	2209	1
G	7024	2980	1
H	7024	2526	1
A	7015	2209	1
B	7015	2526	1
C	7015	2934	1
D	7015	2889	1
A	7026	2015	1
B	7026	2526	1
C	7026	2980	1
D	7026	2526	1
A	7027	2173	1
B	7027	2173	1
C	7027	2834	1
D	7027	2834	1
E	7027	2712	1
F	7027	2015	1
A	7028	2015	1
A	7029	2889	1
B	7029	2209	1
C	7029	2934	1
D	7029	2934	1
E	7029	2980	1
F	7029	2659	1
G	7029	2934	1
H	7029	2834	1
A	7030	2209	1
B	7030	2173	1
C	7030	2712	1
D	7030	2712	1
A	7031	2015	1
B	7031	2526	1
C	7031	2934	1
D	7031	2659	1
E	7031	2659	1
A	7032	2889	1
B	7032	2934	1
C	7032	2526	1
D	7032	2934	1
E	7032	2526	1
F	7032	2889	1
A	7033	2173	1
B	7033	2015	1
A	7034	2889	1
B	7034	2659	1
C	7034	2209	1
D	7034	2173	1
A	7035	2015	1
B	7035	2980	1
A	7036	2760	1
B	7036	2980	1
C	7036	2980	1
D	7036	2934	1
E	7036	2209	1
F	7036	2980	1
A	7037	2834	1
B	7037	2659	1
C	7037	2173	1
A	7038	2712	1
B	7038	2834	1
C	7038	2834	1
D	7038	2980	1
A	7039	2934	1
B	7039	2015	1
A	7040	2980	1
B	7040	2173	1
C	7040	2015	1
D	7040	2015	1
E	7040	2015	1
A	7041	2209	1
B	7041	2209	1
C	7041	2173	1
D	7041	2015	1
E	7041	2209	1
F	7041	2712	1
A	7042	2526	1
A	7043	2834	1
B	7043	2015	1
C	7043	2659	1
D	7043	2209	1
A	7044	2760	1
B	7044	2015	1
A	7045	2834	1
B	7045	2980	1
C	7045	2526	1
D	7045	2659	1
E	7045	2659	1
A	7046	2834	1
B	7046	2659	1
C	7046	2760	1
D	7046	2889	1
A	7047	2889	1
B	7047	2015	1
C	7047	2173	1
D	7047	2760	1
E	7047	2889	1
A	7048	2889	1
B	7048	2934	1
C	7048	2209	1
A	7049	2889	1
B	7049	2889	1
C	7049	2659	1
D	7049	2760	1
E	7049	2712	1
